date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:52	25797/25797	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2023:35:12%20GMT	http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/index-freelancer.html	(from )
21:56:53	153/153	---M--	200	added ('OK')	text/plain	date:Tue,%2012%20May%202015%2023:16:28%20GMT	http://envato.musemaster.net/robots.txt		(from )
21:56:54	122540/122540	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jun%202015%2010:42:50%20GMT	http://envato.musemaster.net/Elrumi-HTML/css/bootstrap.min.css	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/css/bootstrap.min.css	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:55	1476/1476	---M--	200	added ('OK')	text/css	date:Tue,%2013%20May%202014%2018:26:20%20GMT	http://envato.musemaster.net/Elrumi-HTML/css/owl.carousel.css	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/css/owl.carousel.css	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:55	1665/1665	---M--	200	added ('OK')	text/css	date:Tue,%2013%20May%202014%2018:26:24%20GMT	http://envato.musemaster.net/Elrumi-HTML/css/owl.theme.css	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/css/owl.theme.css	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:55	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/Users/L%20-%20127/Documents/port/Portafolio/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:56	48787/48787	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Feb%202016%2008:54:26%20GMT	http://envato.musemaster.net/Elrumi-HTML/css/style.css	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/css/style.css	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:58	15154/15154	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jul%202015%2016:45:36%20GMT	http://envato.musemaster.net/Elrumi-HTML/images/ProfilePic.jpg	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/images/ProfilePic.jpg	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:59	8907/8907	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202016%2017:23:18%20GMT	http://envato.musemaster.net/Elrumi-HTML/single-porfolio.html	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/single-porfolio.html	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
21:56:59	21446/21446	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jul%202015%2016:52:06%20GMT	http://envato.musemaster.net/Elrumi-HTML/images/ProfilePic2.jpg	C:/Users/L%20-%20127/Documents/port/Portafolio/envato.musemaster.net/Elrumi-HTML/images/ProfilePic2.jpg	(from http://envato.musemaster.net/Elrumi-HTML/index-freelancer.html)
